('špenátem'# 2),jídlo,('toho'# 1)
('tam'# 2),jídlo,('zajdeme'# 1)
('vařil'# 2),jídlo,('kdysi'# 1)
('křen#'# 2),jídlo,('(vepřová'# 1)
('profesionální#'# 2),jídlo,('vyměnit'# 1)
('jinak'# 2),jídlo,('čekalo#'# 1)
('úplně'# 2),jídlo,('připravovalo'# 1)
('zcela'# 2),jídlo,('hrůza'# 1)
('způsobem'# 2),jídlo,('počínaje'# 1)
('-'# 2),jídlo,('nedodělané#'# 1)
('vcelku'# 2),jídlo,('bohužel.první'# 1)
('minut'# 2),jídlo,('servírují'# 1)
('objednal'# 2),jídlo,('výtečné.objednali'# 1)
('nikdy'# 2),jídlo,('špatné#kombinace'# 1)
('mého'# 2),jídlo,('nějak'# 1)
('názoru'# 2),jídlo,('(vyzkoušeli'# 1)
('všechno'# 2),jídlo,('dáváme'# 1)
('pohotová'# 2),jídlo,('kančí'# 1)
('rád#'# 2),jídlo,('donesl'# 1)
('brně'# 2),jídlo,('buă„âź'# 1)
('bude'# 2),jídlo,('candáta'# 1)
('špatný'# 2),jídlo,('nebyo'# 1)
('zatím'# 2),jídlo,('dostačující'# 1)
('uznat#'# 2),jídlo,('solidní'# 1)
('mile'# 2),jídlo,('výborné:'# 1)
('nabídka#'# 2),jídlo,('standart'# 1)
('rádi'# 2),jídlo,('nechutnal#'# 1)
('usměvavá.'# 2),jídlo,('zabité'# 1)
('pouze'# 2),jídlo,('čekali#'# 1)
('nechutnalo.'# 2),jídlo,('ochutnáno'# 1)
('čekaní'# 2),jídlo,('stylem'# 1)
('milá.'# 2),jídlo,('špatné#'# 1)
('steak#'# 2),jídlo,('otloukl'# 1)
('dřevěných'# 2),jídlo,('neodpovídalo'# 1)
('přijde'# 2),jídlo,('snědla#'# 1)
('dobrý'# 2),jídlo,('vrátili.já'# 1)
('velké#'# 2),jídlo,('zaplatili'# 1)
('ochotná#'# 2),jídlo,('dovykládat'# 1)
('lepší'# 2),jídlo,('salát'# 1)
('nemohu'# 2),jídlo,('mnohokrát#'# 1)
('upravené'# 2),jídlo,('množstvím'# 1)
('nejlepší'# 2),jídlo,('hotové'# 1)
('obecně'# 2),jídlo,('vege'# 1)
('cena'# 2),jídlo,('nevracím'# 1)
('jídlo#'# 2),jídlo,('rozvozem#'# 1)
('případě'# 2),jídlo,('donesla'# 1)
('stejně'# 2),jídlo,('vrátily'# 1)
('příjemné.'# 2),jídlo,('vepřová'# 1)
('výbornou'# 2),jídlo,('(druhý'# 1)
('říci#'# 2),jídlo,('!!!hodnotím'# 1)
('polévku#'# 2),jídlo,('syté!'# 1)
('stejné'# 2),jídlo,('chutnalo#'# 1)
('doporučuji#'# 2),jídlo,('snaží'# 1)
('ještě'# 2),jídlo,('doporučuji.příjemné'# 1)
('máme'# 2),jídlo,(':-)navšťevuji'# 1)
('perfektní'# 2),jídlo,('vynikající.do'# 1)
('lepší.'# 2),jídlo,('snažší'# 1)
('stále'# 2),jídlo,('přineseno'# 1)
('hotové'# 2),jídlo,('chválili).velmi'# 1)
('pohled'# 2),jídlo,('zeleninový'# 1)
('spíš'# 2),jídlo,('vepřoví'# 1)
('špatně'# 2),jídlo,('spolu'# 1)
('špenátem.'# 2),jídlo,('grilovaný'# 1)
('smažené'# 2),jídlo,('originální'# 1)
('dnes'# 2),jídlo,('přivezli'# 1)
('dobrá'# 2),jídlo,('nezajímavé#'# 1)
('lístek#'# 2),jídlo,('servíroval'# 1)
('vybrané'# 2),jídlo,('zalévá#'# 1)
('každopádně'# 2),jídlo,('nechutnalo#'# 1)
('skvělé#'# 2),jídlo,(':-)dala'# 1)
('posezení'# 2),jídlo,('radši'# 1)
('fajn#'# 2),jídlo,('(penné'# 1)
('objednat'# 2),jídlo,('též(jako'# 1)
('mají'# 2),jídlo,('donesou#'# 1)
('moc#'# 2),jídlo,('dalších'# 1)
('vyloženě'# 2),jídlo,('ă˘â€â“'# 1)
('atmosféra'# 2),jídlo,('nedával.když'# 1)
('dobrý#'# 2),jídlo,('svoji'# 1)
('zážitek#'# 2),jídlo,('dokáže'# 1)
('není'# 2),jídlo,('jíst'# 1)
('škoda#'# 2),jídlo,"(""'pečené""# 1)"
('téměř'# 2),jídlo,('přece'# 1)
('naštěstí'# 2),jídlo,('adekvátní#'# 1)
('okolí'# 2),jídlo,('zatavené'# 1)
('obyčejný'# 2),jídlo,('nejdříve'# 1)
('nijaké'# 2),jídlo,('nejedl'# 1)
('trošku'# 2),jídlo,('nejlépe'# 1)
('posezení#'# 2),jídlo,('vývarem#'# 1)
