1,('plno#'# 2),jídlo,('počínaje'# 1)
1,('vybrali'# 2),jídlo,('trvá'# 1)
1,('vstřícná'# 2),jídlo,('(vyzkoušeli'# 1)
1,('ceny'# 2),jídlo,('dáváme'# 1)
1,('takové'# 2),jídlo,('kančí'# 1)
1,('hospůdka#'# 2),jídlo,('trochu'# 1)
1,('super'# 2),jídlo,('buă„âź'# 1)
1,('špenátem'# 2),jídlo,('solidní'# 1)
1,('křen#'# 2),jídlo,('výborné:'# 1)
1,('profesionální#'# 2),jídlo,('počkat'# 1)
1,('výborné.'# 2),jídlo,('zaplatili'# 1)
1,('vcelku'# 2),jídlo,('salát'# 1)
1,('dlouho'# 2),jídlo,('mnohokrát#'# 1)
1,('pohotová'# 2),jídlo,('množstvím'# 1)
1,('zatím'# 2),jídlo,('hotové'# 1)
1,('mile'# 2),jídlo,('vepřová'# 1)
1,('studené'# 2),jídlo,('(druhý'# 1)
1,('nabídka#'# 2),jídlo,('!!!hodnotím'# 1)
1,('usměvavá.'# 2),jídlo,('snaží'# 1)
1,('každé'# 2),jídlo,(':-)navšťevuji'# 1)
1,('dobrý'# 2),jídlo,('pečené'# 1)
1,('ochotná#'# 2),jídlo,('zeleninový'# 1)
1,('lepší'# 2),jídlo,('vepřoví'# 1)
1,('nemohu'# 2),jídlo,('spolu'# 1)
1,('výborná#'# 2),jídlo,('bohužel'# 1)
1,('stejně'# 2),jídlo,('originální'# 1)
1,('příjemné.'# 2),jídlo,('přivezli'# 1)
1,('dobré#'# 2),jídlo,('nikterak'# 1)
1,('polévku#'# 2),jídlo,(':-)dala'# 1)
1,('perfektní'# 2),jídlo,('(penné'# 1)
1,('lepší.'# 2),jídlo,('též(jako'# 1)
1,('dobrá'# 2),jídlo,('svoji'# 1)
1,('každopádně'# 2),jídlo,('dokáže'# 1)
1,('rozhodně'# 2),jídlo,('zatavené'# 1)
1,('skvělé#'# 2),jídlo,('stálo'# 1)
1,('posezení'# 2),jídlo,('chutná'# 1)
1,('pěkné#'# 2),jídlo,('nejlépe'# 1)
1,('atmosféra'# 2),jídlo,('nevrátila'# 1)
1,('normální'# 2),jídlo,('pokaždé'# 1)
1,('dobrý#'# 2),jídlo,('počkáme'# 1)
1,('určitě'# 2),jídlo,('řekla'# 1)
1,('opět'# 2),jídlo,('perfektní'# 1)
1,('solidní'# 2),jídlo,('opice'# 1)
1,('několikrát'# 2),jídlo,('naservírováno'# 1)
1,('poměrně'# 2),jídlo,('vafle'# 1)
1,('spokojenost#'# 2),jídlo,('fakt'# 1)
1,('kdovíjak'# 1),jídlo,('(byl'# 1)
1,('maximum'# 1),jídlo,('naprostá'# 1)
1,('vychutnal'# 1),jídlo,('steak#'# 1)
1,('radost'# 1),jídlo,('hodnotil'# 1)
1,('kuřecím'# 1),jídlo,('hodně'# 1)
1,('butter'# 1),jídlo,('nechali'# 1)
1,('každý'# 1),jídlo,('účtováno'# 1)
1,('bramborem.'# 1),jídlo,('samozřejmě'# 1)
1,('pozitivní#'# 1),jídlo,('doporučuji'# 1)
1,('čerstvých'# 1),jídlo,('úplně'# 1)
1,('povyšují'# 1),jídlo,('hodnotím'# 1)
1,('nedělala.'# 1),jídlo,('ještě'# 1)
1,('ubral'# 1),jídlo,('spolustolovníka'# 1)
1,('neskrývá'# 1),jídlo,('cena'# 1)
1,('hodil)#'# 1),jídlo,('vařené'# 1)
1,('nebude'# 1),jídlo,('(degustační'# 1)
1,('baví'# 1),jídlo,('zapomněli'# 1)
1,('zahraniční'# 1),jídlo,('celkově'# 1)
1,('stolu'# 1),jídlo,('výborne#'# 1)
1,('průměrně#'# 1),jídlo,('(fal'# 1)
1,('nějakej'# 1),jídlo,('musel'# 1)
1,('super.'# 1),jídlo,('začali'# 1)
1,('krkolomně'# 1),jídlo,('(již'# 1)
1,('nechutná.hlavní'# 1),jídlo,('(popřípadě'# 1)
1,('tomu#'# 1),jídlo,('neurazí#'# 1)
1,('nabídce'# 1),jídlo,('těstovinové'# 1)
1,('vmžiku'# 1),jídlo,('dokonalé'# 1)
1,('mírné#'# 1),jídlo,('tvoří'# 1)
1,('kontakt#'# 1),jídlo,('(hermelín#'# 1)
1,('znechucený'# 1),jídlo,('naprosto'# 1)
1,('sumárum'# 1),jídlo,('protáhlo'# 1)
1,('neodpovídá.'# 1),jídlo,('dost'# 1)
1,('minutách.'# 1),jídlo,('podruhé'# 1)
1,('představí'# 1),jídlo,('pochvaloval#'# 1)
1,('servírované'# 1),jídlo,('hovězí'# 1)
1,('neoslní#'# 1),jídlo,('tentokrát'# 1)
1,('hotovku.'# 1),jídlo,('pravé'# 1)
1,('umí.'# 1),jídlo,('průměr#'# 1)
1,('účet'# 1),jídlo,('(pizza'# 1)
1,('moderní.'# 1),jídlo,('pustili'# 1)
1,('nečekali'# 1),jídlo,('nejprve'# 1)
1,('pochutnali.'# 1),jídlo,('připraví'# 1)
1,('víno#'# 1),jídlo,('uvařeno'# 1)
1,('chutná.'# 1),jídlo,('grilovaná'# 1)
1,('harmonogramu#'# 1),jídlo,('upraveno'# 1)
1,('děkujemevynikající'# 1),jídlo,('vracet#'# 1)
1,('hospoda#'# 1),jídlo,('akorát'# 1)
1,('cibulkou.'# 1),jídlo,('doplňují'# 1)
1,('vrátíme#'# 1),jídlo,('uběhlo'# 1)
1,('jelikož'# 1),jídlo,('mile'# 1)
1,('nepříjemná#'# 1),jídlo,('díky'# 1)
1,('zážitek.'# 1),jídlo,('podprůměrné#'# 1)
1,('vývarem#'# 1),jídlo,('číšník'# 1)
1,('výborná'# 1),jídlo,('steaky'# 1)
1,('malinami.'# 1),jídlo,('(kotleta'# 1)
1,('restauraci.'# 1),jídlo,('ovšem'# 1)
1,('navštívili'# 1),jídlo,('pečeného'# 1)
1,('kvalitně'# 1),jídlo,('těstoviny'# 1)
1,('salsa'# 1),jídlo,('standardní#'# 1)
