Deja vu,"(49.2244701, 16.5912775)"
Divadelní restaurace Nekonečno,"(49.2014503, 16.6086747)"
Dobrá čajovna Brno,"(49.1926625, 16.6119189)"
Dobrá škola,"(49.2173589, 16.5629055)"
Domácí pivovar a restaurace Magistr,Neznámé
Don Miguel's,"(49.0349066, 16.5940092)"
Don Pintxos ,"(49.1942287, 16.6065882)"
Double Decker,"(49.1971928, 16.6088521)"
Draken,"(49.2043821, 16.584377)"
Drakkar,"(49.1917094, 16.6100559)"
Druhý dech,"(49.2662187, 16.5664398)"
Dřevěná růže,"(49.2141093, 16.6230345)"
"Duck bar, Kamenka","(49.1835197, 16.5868235)"
East Village Bar & Diner,"(49.1979147, 16.6021578)"
Ebisu,"(49.2003328, 16.6024798)"
Eiscafe Delikana,"(49.1955276, 16.6075364)"
Ekvádor,Neznámé
El Greco,"(49.2086897, 16.6240311)"
Eldorádo,"(49.2064652, 16.7179538)"
Elektra pub,"(49.1960595, 16.6088348)"
"Eliot - Restaurace, penzion","(49.2073623, 16.4865919)"
Empire Josefská,"(49.1924514, 16.6123946)"
Empire Svoboďák,"(49.1953791, 16.6072525)"
En Elladi,"(49.2028729, 16.5984283)"
Espaňola,"(49.2065389, 16.6000205)"
Everest Indian Restaurant,"(49.25663395, 16.4609337654446)"
Everest Indian Restaurant,"(49.2047665, 16.5836423)"
Faircafé,"(49.185856, 16.5871965)"
Farma,"(49.2086405, 16.615112)"
Fausto Coppi / Faust Burger Pub,"(49.2023095, 16.59612)"
Fénix,"(49.1971422, 16.6091183)"
Fino-club,"(49.1248475, 16.6075187)"
Fish Restaurant Rybářská bašta,"(49.2255011, 16.5133207)"
Fisherman's Yacht,"(49.2039287, 16.6108896)"
Fischer Cafe & Restaurant,"(49.1930511, 16.6097036)"
FLAVOURS Indian,"(49.1953578, 16.6088216)"
FORHAUS coffee & restaurant,"(49.1923837, 16.6042568)"
FORMAN Beef & Beer,"(49.1922443, 16.6113382)"
FORRUM Café-Bar,"(49.2215309, 16.586057)"
Freeland-club,"(49.1963647, 16.6099357)"
Friends Bistro,"(49.2018442, 16.600977)"
Galaxie,"(49.1394586, 16.6315115)"
GALERIE CAFFE,"(49.1949825, 16.6089834)"
Galeryje,"(49.2009971, 16.6071971)"
Gallo Nero,"(49.2236158, 16.6235886)"
Gambrinus 1869 Originál,Neznámé
Garden Restaurant,"(49.2241297, 16.5948537)"
Gelati Eis Caffé (Brno),Neznámé
Gimmi Lounge Cafe,"(49.2230381, 16.5926418)"
Gingilla,"(49.1873282, 16.5941921)"
Giraffy fresh food,"(49.1922443, 16.6113382)"
Glamour restaurant,"(49.1892784, 16.6043725)"
Gloria Jean's Coffees,"(49.1394586, 16.6315115)"
GO,"(49.1959239, 16.6091807)"
Golfový resort - restaurace KASKÁDA,Neznámé
Good Bar,"(49.197505, 16.6109325)"
GREEK RESTAURANT TAVERNA ,"(49.2261059, 16.5816071)"
Green restaurace,"(49.2222201, 16.5532338)"
Grill bar Gurmet OREA Hotelu Voroněž,"(49.18561755, 16.5852891902374)"
Grill bar U Kalvodů,"(49.2081665, 16.6055607)"
Grill House,"(49.2118106, 16.5731029)"
"Gyropolis, s.r.o.","(49.1772535, 16.6833517)"
H3 restaurant,"(49.2236411, 16.5939556)"
HACIENDA MEXICANA,"(49.2178817, 16.5884464)"
Harmonie,Neznámé
Havana,"(49.2062804, 16.6754454)"
HB restaurace,"(49.2335427, 16.5917473)"
Henri Panoptikum,"(49.1885768, 16.6205656)"
Himalaya,"(49.2081665, 16.6055607)"
Hodoválek Czech Restaurant,"(49.1920322, 16.6023296)"
Holiday,"(49.2175117, 16.5534589695245)"
Hospoda Na konečné Obřany,"(49.2278347, 16.65381)"
Hospůdka na roli.,"(49.23058, 16.5962304)"
Hospůdka v podhradí,"(49.1962776, 16.601844)"
Hospůdka za divadlem,"(49.1971094, 16.6129346)"
Hostinec Slunečnice,"(49.1766913, 16.6375447)"
Hostinec Tuřanská Beseda,"(49.1485621, 16.665133)"
Hostinec U Bláhovky,"(49.1991915, 16.5922454)"
Hostinec u Čadíků - Na Šmelcovně,"(49.2674096, 16.3525106)"
Hostinec U Dřeváka,"(49.208649, 16.5996128)"
Hostinec U Semináru,"(49.2034679, 16.6060536)"
Hostinec u Šťávů,"(49.2253774, 16.5266456)"
Hostinec U Tesaře,"(49.1813431, 16.5991708)"
Hostinec U Votrubů,"(49.2557708, 16.7327779)"
hotel Fontána,"(49.2362633, 16.5276942)"
Hotel Gregor,"(49.1273076, 16.6147938)"
Hotel Morávka,"(49.1762016, 16.604303)"
Hotel Myslivna,"(49.1880519, 16.5538785)"
Hotel Royal Ricc,"(49.192573, 16.6071836)"
Hotel U Crlíků,"(49.1696993, 16.4056394)"
Hotel Weiss,"(49.1902794, 16.5956219)"
Hotel-Rakovec,"(49.23123195, 16.5088191581136)"
Hradní vinárna Špilberk,"(49.1940967, 16.59984)"
Hraniční zámeček - HOTEL,Neznámé
Chaloupka,"(49.2532662, 16.5749146)"
changed ,"(49.1922443, 16.6113382)"
Charlie´s Square,"(49.1927864, 16.6117408783572)"
Charlie's pub,"(49.1951297, 16.6108358)"
Charlie's street Grand Restaurant,"(49.1394586, 16.6315115)"
Chilli,"(49.2031936, 16.5990667)"
Chutné štěstí,"(49.2033314, 16.6072165)"
Il Mercato,"(49.1926046, 16.6096209)"
INCAfé,"(49.1922443, 16.6113382)"
Indická Annapurna Restaurace,"(49.1922579, 16.6122453)"
Indická restaurace GOA,"(49.1942143, 16.6352454)"
IRIS,"(49.04714805, 16.5650497055323)"
Iron Horse,"(49.2079935, 16.6044608)"
Italia bar,"(49.1945933, 16.6077038)"
Izakaya Asahi,"(49.1971422, 16.6091183)"
J.LOPEZ - club,"(49.193865, 16.6130178)"
Jako doma,"(49.2032785, 16.6116848)"
Jakoby,"(49.1969623, 16.6085328)"
Jantar,"(49.194505, 16.6070782)"
JARDIN - letní terasa,"(49.2010752, 16.6085164)"
Jazz Cafe Italian Bar,"(49.1932271, 16.6100327)"
Jedna báseň,"(49.1960825, 16.6123312)"
Jedna báseň,"(49.173072, 16.5825371)"
Jednička,"(49.2287379, 16.5225199)"
Jen Tak,"(49.1961806, 16.60965)"
Jim Beam Bar,Neznámé
Jiný Prostor,"(49.198298, 16.6195534)"
Junákova búda,"(49.2264508, 16.5958549)"
K Rudolfskému Návrší,"(49.2112689, 16.5837352)"
K1 Pizzeria Steak House - Vinohrady,"(49.2077574, 16.6630684)"
K1 STEAK HOUSE,"(49.2005396, 16.6341297)"
K5 bar,"(49.2175329, 16.6281825)"
Kabaret Špaček,"(49.1901447, 16.6053831)"
Kafec,"(49.1994215, 16.6026908)"
KANAS   TP   Restaurant ,"(49.231742, 16.5702961)"
Kanibal,"(49.1850586, 16.5949913)"
Kaple 09,"(49.2421692, 16.5758068)"
Kaskáda,"(49.1493737, 16.601743)"
Kavárna a pekařství Zastávka,"(49.1928779, 16.6349824)"
Kavárna Alfa,"(49.1948434, 16.6101543)"
kavárna cukrárna restaurant & pub,"(49.19727, 16.5326378)"
Kavárna ERA,"(49.2105557, 16.6191078)"
Kavárna hotelu Slavia,"(49.1963642, 16.6042057)"
KAVÁRNA KLAFÉ,"(49.20088, 16.5830372)"
Kavárna Spolek,"(49.1938043, 16.6126442)"
kavárna Tulipán,"(49.1923179, 16.6029653)"
KAVKAZ RESTAURANT,"(49.1686632, 16.5721961)"
KEBAB plus - Döner kebab Brno,"(49.1893386, 16.6029599)"
KEBAB SULTAN na Panské,"(49.193702, 16.6089006)"
Ki-Ki Restaurant,"(49.19327, 16.543435780679)"
King's head restaurant,"(49.0927464, 16.367014)"
Klobáskový bar u Bohouše,"(49.1942287, 16.6065882)"
Klub cestovatelů,"(49.2206034, 16.5972626)"
Klub cestovatelů,"(49.2206034, 16.5972626)"
KODO Japonska Restaurace,"(49.3536097, 16.4044055)"
Kohout na víně,"(49.1961978, 16.6146741)"
KOISHI,"(49.1965151, 16.6013625)"
Kolibaba,"(49.2107066, 16.6198362)"
Koločava,"(49.2061208, 16.6025452)"
Koločava - trochu jiná pivnice,"(49.2061208, 16.6025452)"
Kometa Pub ARENA,"(49.1849216, 16.6020591)"
konfit restaurace,"(49.1922443, 16.6113382)"
konfit restaurant,"(49.25663395, 16.4609337654446)"
Korzár,"(49.2105506, 16.586793)"
Kozák Hotel,"(49.213948, 16.574184)"
Kozlovna u Badinů,"(49.1991887, 16.631427)"
Královská cesta,"(49.2154805, 16.6014387)"
Království řízků,"(49.2032785, 16.6116848)"
Krčma U Císařské Cesty,"(48.9611701, 16.4322038)"
Kupé,"(49.2009474, 16.6003261)"
L´Eau Vive,Neznámé
La BOTTE,"(49.0751917, 16.6074664)"
La Bouchée,"(49.1969203, 16.6091793)"
La Corrida Restaurant,"(49.22574015, 16.5307411074846)"
La Corrida Žabovřesky OC Perla,"(49.2153916, 16.5815009)"
La FUFU,"(49.1954756, 16.6061372)"
La Guzza,"(49.192159, 16.6156154)"
La Chapelle,"(49.1764064, 16.624548)"
La Patas,"(49.162968, 16.5680308480078)"
La Ponorka,"(49.2259528, 16.5329327388897)"
La Solitaire,"(49.1964093, 16.6095069)"
"La Strada , restaurant a pizzeria","(49.2033888, 16.5996509)"
La Swoya,"(49.20579075, 16.657694200089)"
L'abbuffata - Restaurant & Caffe bar,"(49.1961806, 16.60965)"
Labyrint Club,"(49.194806, 16.6330961)"
Laguna,"(49.2007871, 16.6008185)"
Las Pegas,"(49.1792971, 16.6795122)"
Last Cafe,"(49.1821734, 16.5945665)"
Le Grand,"(49.1926405, 16.6130254)"
Legenda,"(49.2034023, 16.5957538)"
Leone - restaurant/pizzeria,"(49.1971928, 16.6088521)"
Leonessa Ristorante Pizzeria,"(49.1960825, 16.6123312)"
LEPORELO+ restaurant,"(49.1961978, 16.6146741)"
Letadlo,"(49.2287379, 16.5225199)"
Liberty cafe,"(49.1932699, 16.6088421)"
Light of India,"(49.2113228, 16.6019074)"
Linden Restaurant - Pension,"(49.2642497, 16.5646875)"
Lískovecká terasa,"(49.1761756, 16.559432)"
Livingstone,"(49.1939908, 16.6071856)"
Lobby bar OREA Hotelu Voroněž,"(49.18561755, 16.5852891902374)"
Lokál U Caipla,"(49.1958728, 16.6094489)"
Lokofu,"(49.2101114, 16.5934242)"
London Inn,"(49.1916686, 16.619133)"
Low Cost BAR,"(49.1962742, 16.6088462)"
Lucerna,"(49.1999321, 16.6018396)"
Lucullus,"(49.1949464, 16.6057418)"
Lužánka,"(49.2059617, 16.6050209)"
Maid Café,"(49.2084055, 16.5949926)"
Main restaurant,"(49.1936675, 16.6084858)"
Malá Eliška,"(49.2035373, 16.6186003)"
"Maledivy club,Carpaccio bar","(49.1971928, 16.6088521)"
Mamut Pub,"(49.1905616, 16.609029)"
Mariani,"(49.1934496, 16.6533155)"
MARIANI Ristorante Pizzeria,"(49.190405, 16.6615493)"
Marilyn Cafe,"(49.1942279, 16.6126487)"
MARINA restaurace - pizzerie,"(49.2365252, 16.5274897)"
MAXIM restaurant ,"(49.1878785, 16.6137391)"
Mazaný anděl,"(49.1923479, 16.6052537)"
Merci restaurant,"(49.2023267, 16.6236321)"
Merlin cafe,"(49.1951389, 16.6453674)"
Metro Music Restaurant,"(49.1947646, 16.6100931)"
MFG bistro,"(49.192488, 16.6080272)"
MIDWAY,"(49.2081218, 16.6053355)"
Mike´s restaurant,"(49.179903, 16.595676)"
MIKI RESTAURANT,"(49.2175134, 16.5782746)"
Mikrofarma bistro,"(49.1973204, 16.607744)"
Mimóza club,"(49.2236633, 16.5264948)"
Miniaturgolf - Sojka Petr ,"(49.2305464, 16.6232172)"
MINOR ,"(49.2014826, 16.5928179)"
Mitrovski,"(49.1881146, 16.5889083)"
Modra Ruze,"(49.1999992, 16.6051622)"
MOMO Bar,"(49.1965686, 16.6052517)"
Monâme - zámecká restaurace,"(49.2403576, 16.5737823)"
Monte Bú Restaurant a steakhouse,"(49.1986424, 16.5893672)"
Montenegro Pub (U Prokopů),"(49.2070778, 16.6023953)"
Moravská chalupa - Pivnice s kuželnou,"(49.18561755, 16.5852891902374)"
Moravská chalupa - Restaurant St. Urban,"(49.18561755, 16.5852891902374)"
Motel Poddubí,Neznámé
Motorest60 Na Rozhraní,"(49.1552667, 16.5933384)"
MY FOOD Holandská,"(49.1814305, 16.6046121)"
MY FOOD Zelný trh,"(49.1928229, 16.6091156)"
Na gruntě,"(49.2224266, 16.624084)"
Na Chatě,"(49.2086405, 16.615112)"
Na Knoflíku,"(49.1963133, 16.6089)"
Na Maničkách,"(49.2157958, 16.5697188)"
Na městečku,Neznámé
Na Purkyňce ,"(49.2226846, 16.5846348)"
Na Růžku,"(49.2105088, 16.6023803)"
Na Špici,"(49.2517329, 16.5765499)"
Na Švábce,"(49.1970252, 16.6010192)"
Na-tahu,"(49.190979, 16.6104106)"
Nefertiti,"(49.1935157, 16.6120239)"
Nepal,"(49.2244409, 16.5902086)"
"New York ""Oesterreicherloch""","(49.1937169, 16.5955522)"
Ngoc Tháng Quán - vietnamské bistro,"(49.1877439, 16.650369)"
Noem Arch Restaurant,"(49.21910395, 16.6062111741921)"
NordSee,"(49.187935, 16.6142785)"
Občerstvení Střela,"(49.2181502, 16.590801)"
Ochutnávková Pivnice,"(49.2009142, 16.6078601)"
Oldies Deja*vu,"(49.1813741, 16.3931236)"
Olymp,"(49.2067974, 16.6189269)"
ONYX,"(49.1944597, 16.6078237)"
Orel - jednota Telnice,"(49.1016195, 16.7184657)"
OTTOMAN TRUMPET,"(49.1967655, 16.6043545)"
P,"(49.1955276, 16.6075364)"
Padowetz,"(49.1912599, 16.6109)"
PadThai Restaurant,"(49.3536097, 16.4044055)"
PALADEO RESTAURANTE,"(49.2209179, 16.5844221)"
Panoptikum Beer Restaurant,"(49.1965198, 16.6072107)"
Panská lícha,"(49.2276341, 16.6508126)"
Park Lane Cafe,"(49.2042829, 16.608475)"
Parkhotel,"(49.1945747, 16.5644699)"
PARNAS Caffe,"(49.1931699, 16.6087796)"
Pavillon Restaurant,"(49.1977215, 16.6127696)"
Pegas ,"(49.1961357, 16.6072555)"
PEGAS Jiráskova,"(49.2030931, 16.5958923)"
Pellegrini,"(49.1944509, 16.6083313)"
Pellini,"(49.1968712, 16.6082298)"
Penzion Anitka,"(49.2690949, 16.569463)"
Penzion Marie,"(49.2324601, 16.5191037005682)"
Petit Belveder ,"(49.2088584, 16.6099682)"
Pivní bar Marley,"(49.2112354, 16.5878779)"
Pivní bar U Suka,"(49.2248772, 16.5831196)"
Pivní burza,"(49.2002547, 16.6007642)"
Pivní dveře,"(49.2008609, 16.6010797)"
Pivní Opice,"(49.1978355, 16.6059576)"
Pivní restaurant Sladovna,"(49.2082433, 16.602753)"
PIVNICE NA JUNGMANCE,"(49.3033588, 16.526695)"
Pivnice U Čápa,"(49.1996298, 16.5980485)"
Pivnice U SAMA,"(49.2173462, 16.5087154)"
Pivovarská Restaurace Starobrno,"(49.1908317, 16.5927466)"
Pizza bar Těsně vedle Brno,"(49.2006692, 16.6141114)"
Pizza Coloseum,"(49.1934065, 16.6069181)"
Pizza GRAND PRIX rozvoz,"(49.1896888, 16.5853581)"
Pizza Hamm,Neznámé
Pizza Kanas,"(49.1064591, 16.754215)"
Pizza Toscana,"(49.1922443, 16.6113382)"
Pizza u Honzy,"(49.2004691, 16.6127976)"
PIZZA ZAKKI,"(49.2025741, 16.6062494)"
Pizzaland,"(49.2141632, 16.6430704)"
Pizzan Restaurant,"(49.1927864, 16.6117408783572)"
Pizzeria - Ristorante Gazebo,"(49.210851, 16.6240049)"
Pizzeria Amigo,"(49.2180823, 16.5539045)"
Pizzeria Árčí,"(49.1798729, 16.560468)"
Pizzeria Borgia,"(49.2241297, 16.5948537)"
Pizzeria Da Buffi,"(49.2191589, 16.5542843)"
Pizzeria Di Gusto,"(49.2082484, 16.6859062)"
Pizzeria Kogo,"(49.172458, 16.6014816)"
Pizzeria La Gamba,"(49.2224266, 16.624084)"
Pizzeria La Rossa ,"(49.2121747, 16.6080133)"
Pizzeria Molino Ristorante,"(49.3536097, 16.4044055)"
Pizzeria Primavera,"(49.245075, 16.5810468)"
pizzeria ristorante AL CAPONE,"(49.2103992, 16.6014543)"
Pizzerie Brevi Manu ,"(49.2032785, 16.6116848)"
Pizzerie Issima,"(49.2214291, 16.585963)"
Pizzerie LaPeda,"(49.1869155, 16.5947971)"
Pizzerie Mediterrane,"(49.200964, 16.6006547)"
Pizzerie Morava,"(49.2009167, 16.6005528)"
Pizzerie Paradiso,"(49.1922443, 16.6113382)"
Pizzerie Peperone,"(49.1895701, 16.6084979)"
Pizzerie selská,"(49.2171695, 16.6438016)"
Pizzerie Sukulent,"(49.2035818, 16.6138365)"
Pizzerie Tyrkys,"(49.2117473, 16.5789744)"
Pizzerie Va Bene,"(49.2110403, 16.583156)"
pizzerie VIVA,"(49.2110403, 16.583156)"
Plameňák,"(49.1908757, 16.6036308)"
Plzeňská pivnice na radnici,"(49.20579075, 16.657694200089)"
Pod ořechy,"(49.2077675, 16.6420511)"
Pod Radničním Kolem,"(49.1928748, 16.6080498)"
Pod Špilberkem,"(49.1929543, 16.6047294)"
Pohádková hospůdka,"(49.2183749, 16.5880641)"
Pohostinství na Jílkové,"(49.1959465, 16.6381427)"
point,"(49.2084172, 16.6278697)"
POINT restaurant,"(49.2084172, 16.6278697)"
Pojd na kafe,"(49.1989506, 16.5931669)"
Polévkárna pod schody,"(49.2069202, 16.6121973)"
PONTOS,"(49.184689, 16.5798432)"
Porta da Terra,"(49.1338629, 16.6159672)"
Potrefená husa,"(49.1924382, 16.6073695)"
Potrefená Husa,"(49.187935, 16.6142785)"
Potrefená husa,"(49.2079057, 16.6862221)"
Potrefená husa,"(49.2079057, 16.6862221)"
Prígl Pub,"(49.225629, 16.526972)"
Probe centrum,"(49.20579075, 16.657694200089)"
Prominent,"(49.18423085, 16.5804602194215)"
Přehradní krčma,"(49.2296895, 16.5175991)"
